word,cefr
cat,A1
dog,A1
run,A1
big,A1
yes,A1
no,A1
the,A1
and,A1
can,A1
you,A1
see,A1
red,A1
blue,A1
one,A1
two,A1
book,A1
tree,A1
play,A1
jump,A1
walk,A1
garden,A2
happy,A2
today,A2
friend,A2
school,A2
family,A2
water,A2
small,A2
money,A2
learn,A2
write,A2
listen,A2
speak,A2
travel,A2
beautiful,A2
telephone,A2
computer,A2
restaurant,A2
exercise,A2
important,A2
develop,B1
discuss,B1
environment,B1
explain,B1
investigate,B1
modern,B1
opinion,B1
organize,B1
particular,B1
pollution,B1
population,B1
recognize,B1
relationship,B1
society,B1
suggest,B1
technology,B1
traditional,B1
transport,B1
university,B1
various,B1
achieve,B2
analysis,B2
approach,B2
assume,B2
authority,B2
benefit,B2
concept,B2
conclude,B2
consequence,B2
considerable,B2
contribute,B2
definition,B2
demonstrate,B2
despite,B2
dimension,B2
emphasis,B2
establish,B2
evident,B2
factor,B2
financial,B2
abstract,C1
accompany,C1
accumulate,C1
adequate,C1
allocate,C1
ambiguous,C1
analogy,C1
arbitrary,C1
attribute,C1
coherent,C1
coincide,C1
complement,C1
comprehensive,C1
concurrent,C1
confine,C1
contrary,C1
controversy,C1
diminish,C1
discrimination,C1
diverse,C1
aesthetic,C2
anomaly,C2
arbitrary,C2
commodity,C2
compatible,C2
conceive,C2
concurrent,C2
constrain,C2
contemporary,C2
contradict,C2
denote,C2
differentiate,C2
dimension,C2
discrete,C2
discriminate,C2
domain,C2
elaborate,C2
empirical,C2
enhance,C2
equate,C2
